epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1601.38,0.38114,0.19984,0.0056,0.99783,1,0.995,0.96618,0.27255,0.10658,0.0062,0.0011486,0.0011486,0.0011486
45,1636.68,0.39546,0.20689,0.00525,0.98314,0.97206,0.99419,0.98067,0.26069,0.13606,0.00605,0.0011288,0.0011288,0.0011288
46,1671.63,0.38598,0.18616,0.0055,1,0.99876,0.995,0.96384,0.28782,0.10886,0.00696,0.001109,0.001109,0.001109
47,1707.48,0.40174,0.19926,0.00586,0.97701,0.98333,0.99468,0.98999,0.22216,0.14253,0.00501,0.0010892,0.0010892,0.0010892
48,1743.2,0.39882,0.19669,0.00545,0.99685,0.96667,0.99372,0.9663,0.28678,0.14854,0.00663,0.0010694,0.0010694,0.0010694
49,1778.45,0.39346,0.20123,0.00561,0.99916,1,0.995,0.97617,0.23034,0.08286,0.00514,0.0010496,0.0010496,0.0010496
50,1813.1,0.38001,0.19033,0.00531,0.99566,1,0.995,0.98353,0.2565,0.12556,0.00588,0.0010298,0.0010298,0.0010298
51,1848.61,0.36741,0.18337,0.005,0.9991,1,0.995,0.98698,0.23588,0.08643,0.00527,0.00101,0.00101,0.00101
52,1884.49,0.37773,0.18248,0.00522,0.99692,1,0.995,0.97305,0.26803,0.11227,0.00609,0.0009902,0.0009902,0.0009902
53,1918.68,0.37037,0.18452,0.00498,1,0.99901,0.995,0.97104,0.25999,0.09923,0.00587,0.0009704,0.0009704,0.0009704
54,1953.86,0.37873,0.18082,0.00521,0.99899,1,0.995,0.981,0.24989,0.0867,0.00577,0.0009506,0.0009506,0.0009506
55,1990.7,0.37013,0.17699,0.00495,1,0.99877,0.995,0.98373,0.22138,0.08771,0.005,0.0009308,0.0009308,0.0009308
56,2026.87,0.35804,0.17817,0.00494,1,0.99628,0.995,0.98151,0.25695,0.12475,0.00598,0.000911,0.000911,0.000911
57,2065.05,0.37145,0.18288,0.00498,0.99868,1,0.995,0.97956,0.23515,0.11265,0.00543,0.0008912,0.0008912,0.0008912
58,2101.44,0.34941,0.17667,0.00481,0.99915,1,0.995,0.97717,0.25146,0.08469,0.00586,0.0008714,0.0008714,0.0008714
59,2138.21,0.35752,0.17373,0.00478,0.99587,1,0.995,0.98688,0.22193,0.09601,0.00506,0.0008516,0.0008516,0.0008516
60,2175.68,0.34514,0.17719,0.0046,0.99742,0.98333,0.99452,0.98558,0.23273,0.12379,0.00527,0.0008318,0.0008318,0.0008318
61,2213.5,0.36076,0.1739,0.00489,1,0.99686,0.995,0.96322,0.26862,0.14319,0.00589,0.000812,0.000812,0.000812
62,2250.37,0.34683,0.16154,0.00482,0.99702,1,0.995,0.9759,0.25248,0.11298,0.0058,0.0007922,0.0007922,0.0007922
63,2286.01,0.37366,0.17582,0.00504,0.99912,1,0.995,0.97547,0.26646,0.08812,0.00614,0.0007724,0.0007724,0.0007724
64,2323.31,0.37095,0.17335,0.00502,0.99896,1,0.995,0.96997,0.2908,0.09577,0.0069,0.0007526,0.0007526,0.0007526
65,2360.83,0.33925,0.16498,0.00471,0.99937,1,0.995,0.98164,0.2487,0.09365,0.00573,0.0007328,0.0007328,0.0007328
66,2397.87,0.34569,0.17891,0.00469,1,0.99924,0.995,0.98646,0.23527,0.10308,0.00525,0.000713,0.000713,0.000713
67,2435.99,0.34437,0.16121,0.00462,1,0.99758,0.995,0.99058,0.21704,0.08941,0.0049,0.0006932,0.0006932,0.0006932
68,2473.4,0.35107,0.17657,0.00474,1,0.99926,0.995,0.97047,0.24941,0.09646,0.00584,0.0006734,0.0006734,0.0006734
69,2511.87,0.32508,0.1595,0.0043,0.99914,1,0.995,0.98686,0.2144,0.07381,0.00484,0.0006536,0.0006536,0.0006536
70,2549.25,0.32985,0.16533,0.00455,1,0.9986,0.995,0.98446,0.2244,0.08472,0.00493,0.0006338,0.0006338,0.0006338
71,2586.33,0.32061,0.1593,0.00433,1,0.99971,0.995,0.98535,0.22373,0.08119,0.00513,0.000614,0.000614,0.000614
72,2622.47,0.31185,0.14881,0.00423,0.99917,1,0.995,0.98425,0.24209,0.08257,0.00568,0.0005942,0.0005942,0.0005942
73,2659.85,0.33839,0.1718,0.0047,0.99875,1,0.995,0.98169,0.23974,0.08703,0.00543,0.0005744,0.0005744,0.0005744
74,2696.86,0.32272,0.16323,0.00445,1,0.99641,0.995,0.98608,0.23255,0.11766,0.00528,0.0005546,0.0005546,0.0005546
